[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080132_Crosbee_Mark_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
462,10777,0.010777,[0]
463,11022,0.011022,[1]
464,11643,0.011643,[0]
465,12128,0.012128,[1]
466,11934,0.011934,[0]
467,11795,0.011795,[1]
468,11723,0.011723,[0]
469,11609,0.011609,[1]
470,11861,0.011861,[0]
471,12289,0.012289,[1]
472,12172,0.012172,[0]
473,11897,0.011897,[1]
474,12324,0.012324,[0]
475,12309,0.012309,[1]
476,12335,0.012335,[0]
477,11794,0.011794,[1]
478,11708,0.011708,[0]
479,11826,0.011826,[1]
480,11375,0.011375,[0]
481,11502,0.011502,[1]
482,11682,0.011682,[0]
483,11829,0.011829,[1]
484,11621,0.011621,[0]
485,11223,0.011223,[1]
486,11207,0.011207,[0]
487,10887,0.010887,[1]
488,10502,0.010502,[0]
489,10755,0.010755,[1]
490,10701,0.010701,[0]
491,10412,0.010412,[1]
492,10207,0.010207,[0]
493,9939,0.009939,[1]
494,9957,0.009957,[0]
495,9666,0.009666,[1]
496,9578,0.009578,[0]
497,9476,0.009476,[1]
498,9909,0.009909,[0]
499,9859,0.009859,[1]
