[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_081221_Crosbee_Mark_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
393,7654,0.007654,[1]
394,7661,0.007661,[0]
395,7549,0.007549,[1]
396,7413,0.007413,[0]
397,7369,0.007369,[1]
398,7305,0.007305,[0]
399,7490,0.00749,[1]
400,7422,0.007422,[0]
401,7307,0.007307,[1]
402,7374,0.007374,[0]
403,7505,0.007505,[1]
404,7367,0.007367,[0]
405,7323,0.007323,[1]
406,7261,0.007261,[0]
407,7297,0.007297,[1]
408,7406,0.007406,[0]
409,7452,0.007452,[1]
410,7697,0.007697,[0]
411,7839,0.007839,[1]
412,8068,0.008068,[0]
413,8193,0.008193,[1]
414,8291,0.008291,[0]
415,8150,0.00815,[1]
416,8178,0.008178,[0]
417,8317,0.008317,[1]
418,8239,0.008239,[0]
419,8334,0.008334,[1]
420,8332,0.008332,[0]
421,8360,0.00836,[1]
422,8472,0.008472,[0]
423,8565,0.008565,[1]
424,8592,0.008592,[0]
425,8505,0.008505,[1]
426,8446,0.008446,[0]
427,8306,0.008306,[1]
428,8075,0.008075,[0]
429,7999,0.007999,[1]
430,7882,0.007882,[0]
431,7758,0.007758,[1]
432,7731,0.007731,[0]
433,7958,0.007958,[1]
434,7944,0.007944,[0]
435,7725,0.007725,[1]
436,7628,0.007628,[0]
437,7679,0.007679,[1]
438,7501,0.007501,[0]
439,7540,0.00754,[1]
440,7519,0.007519,[0]
441,7446,0.007446,[1]
442,7340,0.00734,[0]
443,7240,0.00724,[1]
444,7216,0.007216,[0]
445,7253,0.007253,[1]
446,7200,0.0072,[0]
447,7221,0.007221,[1]
448,7469,0.007469,[0]
449,7530,0.00753,[1]
450,7468,0.007468,[0]
451,7459,0.007459,[1]
452,7450,0.00745,[0]
453,7440,0.00744,[1]
454,7244,0.007244,[0]
455,7247,0.007247,[1]
456,7282,0.007282,[0]
457,7182,0.007182,[1]
458,7142,0.007142,[0]
459,7437,0.007437,[1]
460,7632,0.007632,[0]
461,7588,0.007588,[1]
462,7770,0.00777,[0]
463,8099,0.008099,[1]
464,8166,0.008166,[0]
465,7986,0.007986,[1]
466,7953,0.007953,[0]
467,7915,0.007915,[1]
468,8176,0.008176,[0]
469,8009,0.008009,[1]
470,8314,0.008314,[0]
471,8310,0.00831,[1]
472,8427,0.008427,[0]
473,8536,0.008536,[1]
474,8863,0.008863,[0]
475,8744,0.008744,[1]
476,8664,0.008664,[0]
477,9091,0.009091,[1]
478,9108,0.009108,[0]
479,8942,0.008942,[1]
480,8721,0.008721,[0]
481,8579,0.008579,[1]
482,8463,0.008463,[0]
483,8318,0.008318,[1]
484,8186,0.008186,[0]
485,8096,0.008096,[1]
486,8024,0.008024,[0]
487,7837,0.007837,[1]
488,7938,0.007938,[0]
489,8185,0.008185,[1]
490,8578,0.008578,[0]
491,8580,0.00858,[1]
492,8324,0.008324,[0]
493,8033,0.008033,[1]
494,7741,0.007741,[0]
495,7478,0.007478,[1]
496,7268,0.007268,[0]
497,7146,0.007146,[1]
498,7027,0.007027,[0]
499,6946,0.006946,[1]
500,6878,0.006878,[0]
501,6941,0.006941,[1]
502,7305,0.007305,[0]
503,7607,0.007607,[1]
504,7950,0.00795,[0]
505,7766,0.007766,[1]
506,7512,0.007512,[0]
507,7317,0.007317,[1]
508,7131,0.007131,[0]
509,6920,0.00692,[1]
510,6799,0.006799,[0]
511,6701,0.006701,[1]
512,6848,0.006848,[0]
513,6826,0.006826,[1]
514,7141,0.007141,[0]
515,7342,0.007342,[1]
516,7344,0.007344,[0]
517,7406,0.007406,[1]
518,7664,0.007664,[0]
519,7731,0.007731,[1]
520,7611,0.007611,[0]
521,7679,0.007679,[1]
522,7834,0.007834,[0]
523,8023,0.008023,[1]
524,7995,0.007995,[0]
525,8101,0.008101,[1]
526,8329,0.008329,[0]
527,8542,0.008542,[1]
528,8362,0.008362,[0]
529,8545,0.008545,[1]
530,8524,0.008524,[0]
531,8414,0.008414,[1]
532,8214,0.008214,[0]
533,8321,0.008321,[1]
534,8245,0.008245,[0]
535,8056,0.008056,[1]
536,7848,0.007848,[0]
537,7958,0.007958,[1]
538,8093,0.008093,[0]
539,7987,0.007987,[1]
540,7740,0.00774,[0]
541,7607,0.007607,[1]
542,7500,0.0075,[0]
543,7374,0.007374,[1]
544,7305,0.007305,[0]
545,7400,0.0074,[1]
546,7607,0.007607,[0]
547,7554,0.007554,[1]
548,7747,0.007747,[0]
549,7860,0.00786,[1]
550,7729,0.007729,[0]
551,7512,0.007512,[1]
552,7548,0.007548,[0]
553,7684,0.007684,[1]
554,7506,0.007506,[0]
555,7552,0.007552,[1]
556,7366,0.007366,[0]
557,7495,0.007495,[1]
558,7859,0.007859,[0]
559,7960,0.00796,[1]
560,7831,0.007831,[0]
561,7926,0.007926,[1]
562,7820,0.00782,[0]
563,7674,0.007674,[1]
