[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080849_Crosbee_Mark_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
435,8452,0.008452,[1]
436,8519,0.008519,[0]
437,8467,0.008467,[1]
438,8614,0.008614,[0]
439,9186,0.009186,[1]
440,9745,0.009745,[0]
441,9991,0.009991,[1]
442,9771,0.009771,[0]
443,9907,0.009907,[1]
444,9909,0.009909,[0]
445,9860,0.00986,[1]
446,9627,0.009627,[0]
447,10161,0.010161,[1]
448,10298,0.010298,[0]
449,10170,0.01017,[1]
450,10233,0.010233,[0]
451,10299,0.010299,[1]
452,10343,0.010343,[0]
453,9980,0.00998,[1]
454,10021,0.010021,[0]
455,10030,0.01003,[1]
456,10183,0.010183,[0]
457,10404,0.010404,[1]
458,10533,0.010533,[0]
459,10614,0.010614,[1]
460,10592,0.010592,[0]
461,10574,0.010574,[1]
462,10782,0.010782,[0]
463,10913,0.010913,[1]
464,10652,0.010652,[0]
465,10542,0.010542,[1]
466,10517,0.010517,[0]
467,10480,0.01048,[1]
468,10325,0.010325,[0]
469,10307,0.010307,[1]
470,10478,0.010478,[0]
471,10263,0.010263,[1]
472,10119,0.010119,[0]
473,10025,0.010025,[1]
474,10032,0.010032,[0]
475,9650,0.00965,[1]
476,9273,0.009273,[0]
477,9187,0.009187,[1]
478,9713,0.009713,[0]
479,9752,0.009752,[1]
480,9638,0.009638,[0]
481,9795,0.009795,[1]
482,9443,0.009443,[0]
483,9267,0.009267,[1]
484,9098,0.009098,[0]
485,8840,0.00884,[1]
486,9053,0.009053,[0]
487,9288,0.009288,[1]
488,9028,0.009028,[0]
489,9454,0.009454,[1]
490,9617,0.009617,[0]
491,9398,0.009398,[1]
492,9295,0.009295,[0]
493,9242,0.009242,[1]
494,9289,0.009289,[0]
495,9115,0.009115,[1]
496,9077,0.009077,[0]
497,8940,0.00894,[1]
498,8713,0.008713,[0]
499,8445,0.008445,[1]
500,8334,0.008334,[0]
501,8391,0.008391,[1]
502,8515,0.008515,[0]
503,8534,0.008534,[1]
504,8602,0.008602,[0]
505,8601,0.008601,[1]
506,8603,0.008603,[0]
507,8744,0.008744,[1]
508,8881,0.008881,[0]
509,8728,0.008728,[1]
510,8617,0.008617,[0]
511,8459,0.008459,[1]
512,8697,0.008697,[0]
513,8896,0.008896,[1]
514,8923,0.008923,[0]
515,8785,0.008785,[1]
516,8681,0.008681,[0]
517,8753,0.008753,[1]
518,8839,0.008839,[0]
519,8816,0.008816,[1]
520,8731,0.008731,[0]
521,8988,0.008988,[1]
522,9087,0.009087,[0]
523,9169,0.009169,[1]
524,9011,0.009011,[0]
525,9041,0.009041,[1]
526,9207,0.009207,[0]
527,9334,0.009334,[1]
528,9483,0.009483,[0]
529,9595,0.009595,[1]
530,9715,0.009715,[0]
531,9405,0.009405,[1]
532,9575,0.009575,[0]
533,9610,0.00961,[1]
534,9666,0.009666,[0]
535,9541,0.009541,[1]
536,9748,0.009748,[0]
537,9776,0.009776,[1]
538,10014,0.010014,[0]
539,9964,0.009964,[1]
540,9925,0.009925,[0]
541,10293,0.010293,[1]
542,10196,0.010196,[0]
543,10728,0.010728,[1]
544,10534,0.010534,[0]
545,10534,0.010534,[1]
546,10071,0.010071,[0]
547,10015,0.010015,[1]
548,10281,0.010281,[0]
549,10309,0.010309,[1]
550,10237,0.010237,[0]
551,10506,0.010506,[1]
552,11057,0.011057,[0]
553,10909,0.010909,[1]
554,11108,0.011108,[0]
555,11102,0.011102,[1]
556,10922,0.010922,[0]
557,10590,0.01059,[1]
558,10587,0.010587,[0]
559,10610,0.01061,[1]
560,10439,0.010439,[0]
561,9690,0.00969,[1]
562,9805,0.009805,[0]
563,10805,0.010805,[1]
564,11004,0.011004,[0]
565,10378,0.010378,[1]
566,10221,0.010221,[0]
567,10123,0.010123,[1]
568,9821,0.009821,[0]
569,9833,0.009833,[1]
570,9770,0.00977,[0]
571,9812,0.009812,[1]
572,9442,0.009442,[0]
573,9930,0.00993,[1]
574,10173,0.010173,[0]
575,10174,0.010174,[1]
576,10135,0.010135,[0]
577,10188,0.010188,[1]
578,9992,0.009992,[0]
579,9543,0.009543,[1]
580,9232,0.009232,[0]
581,9286,0.009286,[1]
582,9319,0.009319,[0]
583,9207,0.009207,[1]
584,9322,0.009322,[0]
585,9214,0.009214,[1]
586,9208,0.009208,[0]
587,8964,0.008964,[1]
