[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_082553_O'Callaghan_Georgie_90SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
647,10506,0.010506,[1]
648,10668,0.010668,[0]
649,11146,0.011146,[1]
650,11178,0.011178,[0]
651,10878,0.010878,[1]
652,10730,0.01073,[0]
653,10578,0.010578,[1]
654,10422,0.010422,[0]
655,10424,0.010424,[1]
656,10383,0.010383,[0]
657,10205,0.010205,[1]
658,10136,0.010136,[0]
659,10193,0.010193,[1]
660,10416,0.010416,[0]
661,10317,0.010317,[1]
662,10536,0.010536,[0]
663,10469,0.010469,[1]
664,10387,0.010387,[0]
665,10331,0.010331,[1]
666,10361,0.010361,[0]
667,10503,0.010503,[1]
668,10394,0.010394,[0]
669,10302,0.010302,[1]
670,10208,0.010208,[0]
671,10201,0.010201,[1]
672,10030,0.01003,[0]
673,9944,0.009944,[1]
674,9921,0.009921,[0]
675,9874,0.009874,[1]
676,9929,0.009929,[0]
677,9798,0.009798,[1]
678,9650,0.00965,[0]
679,9615,0.009615,[1]
680,9874,0.009874,[0]
681,9850,0.00985,[1]
682,9976,0.009976,[0]
683,9911,0.009911,[1]
684,10040,0.01004,[0]
685,10167,0.010167,[1]
686,10016,0.010016,[0]
687,9848,0.009848,[1]
688,9684,0.009684,[0]
689,9666,0.009666,[1]
690,9644,0.009644,[0]
691,9719,0.009719,[1]
692,9812,0.009812,[0]
693,9845,0.009845,[1]
694,10037,0.010037,[0]
695,10126,0.010126,[1]
696,10057,0.010057,[0]
697,9963,0.009963,[1]
698,9905,0.009905,[0]
699,10067,0.010067,[1]
700,10129,0.010129,[0]
701,9975,0.009975,[1]
702,9941,0.009941,[0]
703,9863,0.009863,[1]
704,9809,0.009809,[0]
705,9810,0.00981,[1]
706,9865,0.009865,[0]
707,9886,0.009886,[1]
708,9739,0.009739,[0]
709,9905,0.009905,[1]
710,10128,0.010128,[0]
711,9943,0.009943,[1]
712,10364,0.010364,[0]
713,10621,0.010621,[1]
714,10852,0.010852,[0]
715,11017,0.011017,[1]
716,11048,0.011048,[0]
717,10760,0.01076,[1]
718,10778,0.010778,[0]
719,10946,0.010946,[1]
720,10927,0.010927,[0]
721,11075,0.011075,[1]
722,11288,0.011288,[0]
723,11038,0.011038,[1]
724,10840,0.01084,[0]
725,10726,0.010726,[1]
726,10647,0.010647,[0]
727,10305,0.010305,[1]
728,10062,0.010062,[0]
729,9989,0.009989,[1]
730,9809,0.009809,[0]
731,9632,0.009632,[1]
732,9455,0.009455,[0]
733,9232,0.009232,[1]
734,9116,0.009116,[0]
735,9216,0.009216,[1]
736,9350,0.00935,[0]
737,9267,0.009267,[1]
738,9440,0.00944,[0]
739,9536,0.009536,[1]
740,9461,0.009461,[0]
741,9547,0.009547,[1]
742,9446,0.009446,[0]
743,9206,0.009206,[1]
744,9400,0.0094,[0]
745,9308,0.009308,[1]
746,9173,0.009173,[0]
747,9135,0.009135,[1]
748,9181,0.009181,[0]
749,9305,0.009305,[1]
750,9202,0.009202,[0]
751,9028,0.009028,[1]
752,8931,0.008931,[0]
753,8827,0.008827,[1]
754,9076,0.009076,[0]
755,9403,0.009403,[1]
756,9432,0.009432,[0]
757,9577,0.009577,[1]
758,9619,0.009619,[0]
759,9726,0.009726,[1]
760,9785,0.009785,[0]
761,9898,0.009898,[1]
762,9602,0.009602,[0]
763,9600,0.0096,[1]
764,9719,0.009719,[0]
765,9907,0.009907,[1]
766,9781,0.009781,[0]
767,9671,0.009671,[1]
768,9735,0.009735,[0]
769,9794,0.009794,[1]
770,9916,0.009916,[0]
771,10055,0.010055,[1]
772,10142,0.010142,[0]
773,10357,0.010357,[1]
774,10328,0.010328,[0]
775,10300,0.0103,[1]
776,10512,0.010512,[0]
777,10496,0.010496,[1]
778,10774,0.010774,[0]
779,11089,0.011089,[1]
780,11280,0.01128,[0]
781,11313,0.011313,[1]
782,11163,0.011163,[0]
783,10913,0.010913,[1]
784,10975,0.010975,[0]
785,11062,0.011062,[1]
786,10984,0.010984,[0]
787,11268,0.011268,[1]
788,10995,0.010995,[0]
789,10926,0.010926,[1]
790,11099,0.011099,[0]
791,10903,0.010903,[1]
792,10918,0.010918,[0]
793,10775,0.010775,[1]
794,10565,0.010565,[0]
795,10504,0.010504,[1]
796,10419,0.010419,[0]
797,10545,0.010545,[1]
798,10479,0.010479,[0]
799,10485,0.010485,[1]
800,10466,0.010466,[0]
801,10257,0.010257,[1]
802,10058,0.010058,[0]
