[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
375,9793,0.009793,[1]
376,9988,0.009988,[0]
377,9861,0.009861,[1]
378,10105,0.010105,[0]
379,10042,0.010042,[1]
380,9922,0.009922,[0]
381,10064,0.010064,[1]
382,10268,0.010268,[0]
383,10334,0.010334,[1]
384,10193,0.010193,[0]
385,10401,0.010401,[1]
386,10485,0.010485,[0]
387,10375,0.010375,[1]
388,10642,0.010642,[0]
389,10808,0.010808,[1]
390,10729,0.010729,[0]
391,10581,0.010581,[1]
392,10384,0.010384,[0]
393,10025,0.010025,[1]
394,9773,0.009773,[0]
395,9843,0.009843,[1]
396,10034,0.010034,[0]
397,9910,0.00991,[1]
398,9853,0.009853,[0]
399,10045,0.010045,[1]
400,10012,0.010012,[0]
401,10077,0.010077,[1]
402,10184,0.010184,[0]
403,10246,0.010246,[1]
404,10062,0.010062,[0]
405,10241,0.010241,[1]
406,10313,0.010313,[0]
407,10096,0.010096,[1]
408,9874,0.009874,[0]
409,9789,0.009789,[1]
410,9645,0.009645,[0]
411,9510,0.00951,[1]
412,9382,0.009382,[0]
413,9126,0.009126,[1]
414,8909,0.008909,[0]
415,8688,0.008688,[1]
416,8466,0.008466,[0]
417,8251,0.008251,[1]
418,8363,0.008363,[0]
419,8491,0.008491,[1]
420,8498,0.008498,[0]
421,8609,0.008609,[1]
422,8838,0.008838,[0]
423,8901,0.008901,[1]
424,8744,0.008744,[0]
425,8806,0.008806,[1]
426,8809,0.008809,[0]
427,8581,0.008581,[1]
428,8302,0.008302,[0]
429,8335,0.008335,[1]
430,8523,0.008523,[0]
431,8610,0.00861,[1]
432,8868,0.008868,[0]
433,8927,0.008927,[1]
434,9141,0.009141,[0]
435,9071,0.009071,[1]
436,8974,0.008974,[0]
437,8859,0.008859,[1]
438,8809,0.008809,[0]
439,8586,0.008586,[1]
440,8712,0.008712,[0]
441,8730,0.00873,[1]
442,8941,0.008941,[0]
443,9303,0.009303,[1]
444,9458,0.009458,[0]
445,9653,0.009653,[1]
446,9909,0.009909,[0]
447,10336,0.010336,[1]
448,10292,0.010292,[0]
449,10066,0.010066,[1]
450,9966,0.009966,[0]
451,9751,0.009751,[1]
452,9727,0.009727,[0]
453,9628,0.009628,[1]
454,9618,0.009618,[0]
455,9855,0.009855,[1]
456,10018,0.010018,[0]
457,10184,0.010184,[1]
458,10444,0.010444,[0]
459,10202,0.010202,[1]
460,10387,0.010387,[0]
461,10508,0.010508,[1]
462,10218,0.010218,[0]
463,9950,0.00995,[1]
464,9999,0.009999,[0]
465,9890,0.00989,[1]
466,9895,0.009895,[0]
467,10120,0.01012,[1]
468,10393,0.010393,[0]
