[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_081829_Pope_Ben_100SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
568,9802,0.009802,[0]
569,10158,0.010158,[1]
570,10137,0.010137,[0]
571,9979,0.009979,[1]
572,10125,0.010125,[0]
573,10300,0.0103,[1]
574,10250,0.01025,[0]
575,10228,0.010228,[1]
576,10116,0.010116,[0]
577,9719,0.009719,[1]
578,9492,0.009492,[0]
579,9453,0.009453,[1]
580,9529,0.009529,[0]
581,9385,0.009385,[1]
582,9392,0.009392,[0]
583,9320,0.00932,[1]
584,9577,0.009577,[0]
585,9459,0.009459,[1]
586,9387,0.009387,[0]
587,9338,0.009338,[1]
588,9405,0.009405,[0]
589,9276,0.009276,[1]
590,8963,0.008963,[0]
591,8804,0.008804,[1]
592,8629,0.008629,[0]
593,8508,0.008508,[1]
594,8356,0.008356,[0]
595,8104,0.008104,[1]
596,7914,0.007914,[0]
597,7899,0.007899,[1]
598,7854,0.007854,[0]
599,8148,0.008148,[1]
600,8317,0.008317,[0]
601,8571,0.008571,[1]
602,8523,0.008523,[0]
603,8419,0.008419,[1]
604,8307,0.008307,[0]
605,8197,0.008197,[1]
606,8284,0.008284,[0]
607,8265,0.008265,[1]
608,8343,0.008343,[0]
609,8355,0.008355,[1]
610,8334,0.008334,[0]
611,8489,0.008489,[1]
612,8507,0.008507,[0]
613,8497,0.008497,[1]
614,8694,0.008694,[0]
615,8774,0.008774,[1]
616,8862,0.008862,[0]
617,8975,0.008975,[1]
618,8956,0.008956,[0]
619,8923,0.008923,[1]
620,8976,0.008976,[0]
621,9203,0.009203,[1]
622,9364,0.009364,[0]
623,9277,0.009277,[1]
624,9282,0.009282,[0]
625,9091,0.009091,[1]
626,9348,0.009348,[0]
627,9472,0.009472,[1]
628,9763,0.009763,[0]
629,9967,0.009967,[1]
630,9835,0.009835,[0]
631,9732,0.009732,[1]
632,9743,0.009743,[0]
633,9785,0.009785,[1]
634,10001,0.010001,[0]
635,9889,0.009889,[1]
636,9733,0.009733,[0]
637,9745,0.009745,[1]
638,9783,0.009783,[0]
639,9740,0.00974,[1]
640,9581,0.009581,[0]
641,9530,0.00953,[1]
642,9505,0.009505,[0]
643,9457,0.009457,[1]
644,9412,0.009412,[0]
645,9296,0.009296,[1]
646,9180,0.00918,[0]
647,9131,0.009131,[1]
648,9003,0.009003,[0]
649,8793,0.008793,[1]
650,8589,0.008589,[0]
651,8470,0.00847,[1]
652,8486,0.008486,[0]
653,8600,0.0086,[1]
654,8624,0.008624,[0]
655,8505,0.008505,[1]
656,8424,0.008424,[0]
657,8379,0.008379,[1]
658,8265,0.008265,[0]
659,8174,0.008174,[1]
660,8020,0.00802,[0]
661,7952,0.007952,[1]
662,7866,0.007866,[0]
663,7768,0.007768,[1]
664,7762,0.007762,[0]
665,7666,0.007666,[1]
666,7714,0.007714,[0]
667,7938,0.007938,[1]
668,7944,0.007944,[0]
669,7979,0.007979,[1]
670,8156,0.008156,[0]
671,8186,0.008186,[1]
672,8086,0.008086,[0]
673,8036,0.008036,[1]
674,8093,0.008093,[0]
675,8067,0.008067,[1]
676,8024,0.008024,[0]
677,8134,0.008134,[1]
678,8150,0.00815,[0]
679,8163,0.008163,[1]
680,8195,0.008195,[0]
681,8309,0.008309,[1]
682,8428,0.008428,[0]
683,8674,0.008674,[1]
684,8872,0.008872,[0]
685,9016,0.009016,[1]
686,9158,0.009158,[0]
687,9358,0.009358,[1]
688,9243,0.009243,[0]
689,9378,0.009378,[1]
690,9515,0.009515,[0]
691,9628,0.009628,[1]
692,9938,0.009938,[0]
693,10030,0.01003,[1]
694,10005,0.010005,[0]
695,9869,0.009869,[1]
696,9878,0.009878,[0]
697,9940,0.00994,[1]
698,9880,0.00988,[0]
699,10158,0.010158,[1]
700,10167,0.010167,[0]
701,10204,0.010204,[1]
702,10211,0.010211,[0]
703,10139,0.010139,[1]
704,10027,0.010027,[0]
705,10099,0.010099,[1]
706,10031,0.010031,[0]
707,9984,0.009984,[1]
708,9937,0.009937,[0]
709,9910,0.00991,[1]
710,9788,0.009788,[0]
711,9518,0.009518,[1]
712,9381,0.009381,[0]
713,9292,0.009292,[1]
714,9290,0.00929,[0]
715,9549,0.009549,[1]
716,9800,0.0098,[0]
717,9766,0.009766,[1]
718,10114,0.010114,[0]
719,10456,0.010456,[1]
720,10348,0.010348,[0]
721,10111,0.010111,[1]
722,9927,0.009927,[0]
723,9780,0.00978,[1]
724,9640,0.00964,[0]
725,9393,0.009393,[1]
726,9462,0.009462,[0]
727,9468,0.009468,[1]
728,9396,0.009396,[0]
729,9449,0.009449,[1]
730,9418,0.009418,[0]
731,9463,0.009463,[1]
732,9336,0.009336,[0]
733,9208,0.009208,[1]
734,9261,0.009261,[0]
735,9196,0.009196,[1]
736,9029,0.009029,[0]
737,9005,0.009005,[1]
738,8796,0.008796,[0]
739,8849,0.008849,[1]
740,8791,0.008791,[0]
741,8738,0.008738,[1]
742,8734,0.008734,[0]
743,8742,0.008742,[1]
744,9039,0.009039,[0]
745,9108,0.009108,[1]
746,9029,0.009029,[0]
747,9082,0.009082,[1]
748,9000,0.009,[0]
749,8878,0.008878,[1]
750,9019,0.009019,[0]
751,8866,0.008866,[1]
752,8618,0.008618,[0]
753,8658,0.008658,[1]
754,8581,0.008581,[0]
