[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082028_Curtin_Dom_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
553,9676,0.009676,[1]
554,9670,0.00967,[0]
555,9833,0.009833,[1]
556,9671,0.009671,[0]
557,9956,0.009956,[1]
558,10259,0.010259,[0]
559,10405,0.010405,[1]
560,10642,0.010642,[0]
561,10627,0.010627,[1]
562,10305,0.010305,[0]
563,10431,0.010431,[1]
564,10412,0.010412,[0]
565,10679,0.010679,[1]
566,10481,0.010481,[0]
567,10631,0.010631,[1]
568,10546,0.010546,[0]
569,10684,0.010684,[1]
570,10911,0.010911,[0]
571,11310,0.01131,[1]
572,11170,0.01117,[0]
573,11075,0.011075,[1]
574,10846,0.010846,[0]
575,10966,0.010966,[1]
576,10859,0.010859,[0]
577,10648,0.010648,[1]
578,11131,0.011131,[0]
579,10843,0.010843,[1]
580,10542,0.010542,[0]
581,10630,0.01063,[1]
582,10303,0.010303,[0]
583,9881,0.009881,[1]
584,9795,0.009795,[0]
585,9777,0.009777,[1]
586,9644,0.009644,[0]
587,9277,0.009277,[1]
588,9200,0.0092,[0]
589,9258,0.009258,[1]
590,9376,0.009376,[0]
591,9127,0.009127,[1]
592,9236,0.009236,[0]
593,9313,0.009313,[1]
594,9222,0.009222,[0]
595,8963,0.008963,[1]
596,8799,0.008799,[0]
597,8625,0.008625,[1]
598,8483,0.008483,[0]
599,8593,0.008593,[1]
600,8671,0.008671,[0]
601,8760,0.00876,[1]
602,8588,0.008588,[0]
603,8694,0.008694,[1]
604,8651,0.008651,[0]
605,8554,0.008554,[1]
606,8502,0.008502,[0]
607,8601,0.008601,[1]
608,8982,0.008982,[0]
609,8985,0.008985,[1]
610,8859,0.008859,[0]
611,9391,0.009391,[1]
612,9288,0.009288,[0]
613,8936,0.008936,[1]
614,8861,0.008861,[0]
615,9069,0.009069,[1]
616,9192,0.009192,[0]
617,8883,0.008883,[1]
618,8977,0.008977,[0]
619,9280,0.00928,[1]
620,9415,0.009415,[0]
621,9464,0.009464,[1]
622,10005,0.010005,[0]
623,10534,0.010534,[1]
624,10603,0.010603,[0]
625,10463,0.010463,[1]
626,10826,0.010826,[0]
627,10489,0.010489,[1]
628,9932,0.009932,[0]
629,9722,0.009722,[1]
630,9596,0.009596,[0]
631,9747,0.009747,[1]
632,9696,0.009696,[0]
633,10253,0.010253,[1]
634,10745,0.010745,[0]
635,11009,0.011009,[1]
636,10858,0.010858,[0]
637,11677,0.011677,[1]
638,11575,0.011575,[0]
639,11230,0.01123,[1]
640,10831,0.010831,[0]
