[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082704_Curtin_Dom_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
356,8872,0.008872,[0]
357,8750,0.00875,[1]
358,8914,0.008914,[0]
359,8895,0.008895,[1]
360,9041,0.009041,[0]
361,8903,0.008903,[1]
362,9265,0.009265,[0]
363,9457,0.009457,[1]
364,9470,0.00947,[0]
365,9218,0.009218,[1]
366,9274,0.009274,[0]
367,9150,0.00915,[1]
368,8839,0.008839,[0]
369,8543,0.008543,[1]
370,8553,0.008553,[0]
371,9023,0.009023,[1]
372,8885,0.008885,[0]
373,8753,0.008753,[1]
374,8642,0.008642,[0]
375,8236,0.008236,[1]
376,7901,0.007901,[0]
377,7720,0.00772,[1]
378,7694,0.007694,[0]
379,8151,0.008151,[1]
380,8279,0.008279,[0]
381,8710,0.00871,[1]
382,8965,0.008965,[0]
383,8672,0.008672,[1]
384,8229,0.008229,[0]
385,7851,0.007851,[1]
386,7466,0.007466,[0]
387,7151,0.007151,[1]
388,7038,0.007038,[0]
389,7117,0.007117,[1]
390,7228,0.007228,[0]
391,7770,0.00777,[1]
392,8036,0.008036,[0]
393,8159,0.008159,[1]
394,8058,0.008058,[0]
395,8030,0.00803,[1]
396,7888,0.007888,[0]
397,7757,0.007757,[1]
398,7678,0.007678,[0]
399,7667,0.007667,[1]
400,7841,0.007841,[0]
401,7908,0.007908,[1]
402,8166,0.008166,[0]
403,8561,0.008561,[1]
404,8691,0.008691,[0]
405,8574,0.008574,[1]
406,8756,0.008756,[0]
407,8769,0.008769,[1]
408,8650,0.00865,[0]
409,8644,0.008644,[1]
410,8765,0.008765,[0]
411,8844,0.008844,[1]
412,8948,0.008948,[0]
413,8938,0.008938,[1]
414,8980,0.00898,[0]
415,8753,0.008753,[1]
416,8468,0.008468,[0]
417,8348,0.008348,[1]
418,8225,0.008225,[0]
419,8084,0.008084,[1]
420,8005,0.008005,[0]
421,8235,0.008235,[1]
422,8256,0.008256,[0]
423,8223,0.008223,[1]
424,7963,0.007963,[0]
425,7901,0.007901,[1]
426,7675,0.007675,[0]
427,7537,0.007537,[1]
428,7659,0.007659,[0]
429,7624,0.007624,[1]
430,7471,0.007471,[0]
431,7240,0.00724,[1]
432,7197,0.007197,[0]
433,7194,0.007194,[1]
434,7212,0.007212,[0]
435,7060,0.00706,[1]
436,7008,0.007008,[0]
437,6962,0.006962,[1]
438,7138,0.007138,[0]
439,7222,0.007222,[1]
440,7411,0.007411,[0]
441,7367,0.007367,[1]
442,7252,0.007252,[0]
