[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090932_Curtin_Dom_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
376,10056,0.010056,[0]
377,9919,0.009919,[1]
378,10037,0.010037,[0]
379,9845,0.009845,[1]
380,9671,0.009671,[0]
381,9497,0.009497,[1]
382,9238,0.009238,[0]
383,9002,0.009002,[1]
384,8861,0.008861,[0]
385,8803,0.008803,[1]
386,8776,0.008776,[0]
387,8626,0.008626,[1]
388,8558,0.008558,[0]
389,8425,0.008425,[1]
390,8370,0.00837,[0]
391,8275,0.008275,[1]
392,8314,0.008314,[0]
393,8242,0.008242,[1]
394,8081,0.008081,[0]
395,7989,0.007989,[1]
396,7982,0.007982,[0]
397,8070,0.00807,[1]
398,8049,0.008049,[0]
399,7984,0.007984,[1]
400,8009,0.008009,[0]
401,8018,0.008018,[1]
402,7921,0.007921,[0]
403,7949,0.007949,[1]
404,8049,0.008049,[0]
405,8398,0.008398,[1]
406,8287,0.008287,[0]
407,8389,0.008389,[1]
408,8599,0.008599,[0]
409,8681,0.008681,[1]
410,8604,0.008604,[0]
411,8831,0.008831,[1]
412,8734,0.008734,[0]
413,8882,0.008882,[1]
414,8957,0.008957,[0]
415,9384,0.009384,[1]
416,9775,0.009775,[0]
417,10145,0.010145,[1]
418,10070,0.01007,[0]
419,10172,0.010172,[1]
420,10076,0.010076,[0]
421,9814,0.009814,[1]
422,9795,0.009795,[0]
423,10069,0.010069,[1]
424,10053,0.010053,[0]
425,10704,0.010704,[1]
426,11618,0.011618,[0]
427,11170,0.01117,[1]
428,10794,0.010794,[0]
429,10136,0.010136,[1]
430,9620,0.00962,[0]
431,9528,0.009528,[1]
432,9484,0.009484,[0]
433,9369,0.009369,[1]
434,9484,0.009484,[0]
435,9546,0.009546,[1]
436,9549,0.009549,[0]
437,9495,0.009495,[1]
438,9488,0.009488,[0]
439,9201,0.009201,[1]
440,8915,0.008915,[0]
441,8697,0.008697,[1]
442,8547,0.008547,[0]
443,8453,0.008453,[1]
444,8338,0.008338,[0]
445,8408,0.008408,[1]
446,8436,0.008436,[0]
447,8315,0.008315,[1]
448,8130,0.00813,[0]
449,7987,0.007987,[1]
450,8111,0.008111,[0]
451,8197,0.008197,[1]
452,8057,0.008057,[0]
453,8127,0.008127,[1]
454,7976,0.007976,[0]
455,7812,0.007812,[1]
456,7703,0.007703,[0]
457,7759,0.007759,[1]
458,7740,0.00774,[0]
459,7727,0.007727,[1]
460,7933,0.007933,[0]
461,8337,0.008337,[1]
462,8277,0.008277,[0]
463,8237,0.008237,[1]
464,8239,0.008239,[0]
465,8192,0.008192,[1]
466,8238,0.008238,[0]
467,8380,0.00838,[1]
468,8485,0.008485,[0]
