[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092024_Long_Merle_205Paddle80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
692,9102,0.009102,[0]
693,9057,0.009057,[1]
694,8897,0.008897,[0]
695,8730,0.00873,[1]
696,8654,0.008654,[0]
697,8518,0.008518,[1]
698,8362,0.008362,[0]
699,8358,0.008358,[1]
700,8718,0.008718,[0]
701,8873,0.008873,[1]
702,8938,0.008938,[0]
703,8925,0.008925,[1]
704,8824,0.008824,[0]
705,8747,0.008747,[1]
706,8734,0.008734,[0]
707,8727,0.008727,[1]
708,8675,0.008675,[0]
709,8593,0.008593,[1]
710,8765,0.008765,[0]
711,9049,0.009049,[1]
712,9139,0.009139,[0]
713,9332,0.009332,[1]
714,9499,0.009499,[0]
715,9440,0.00944,[1]
716,9550,0.00955,[0]
717,9466,0.009466,[1]
718,9403,0.009403,[0]
719,9416,0.009416,[1]
720,9507,0.009507,[0]
721,9566,0.009566,[1]
722,9727,0.009727,[0]
723,9732,0.009732,[1]
724,9769,0.009769,[0]
725,10071,0.010071,[1]
726,10534,0.010534,[0]
727,10542,0.010542,[1]
728,10321,0.010321,[0]
729,10414,0.010414,[1]
730,10382,0.010382,[0]
731,10210,0.01021,[1]
732,10388,0.010388,[0]
733,10633,0.010633,[1]
734,11099,0.011099,[0]
735,11080,0.01108,[1]
736,11050,0.01105,[0]
737,11147,0.011147,[1]
738,11044,0.011044,[0]
739,11059,0.011059,[1]
740,11249,0.011249,[0]
741,11381,0.011381,[1]
742,11184,0.011184,[0]
743,11204,0.011204,[1]
744,11012,0.011012,[0]
745,11158,0.011158,[1]
746,11653,0.011653,[0]
747,11488,0.011488,[1]
748,11128,0.011128,[0]
749,10601,0.010601,[1]
750,10222,0.010222,[0]
751,9930,0.00993,[1]
752,9848,0.009848,[0]
753,10208,0.010208,[1]
754,9970,0.00997,[0]
755,9817,0.009817,[1]
756,10504,0.010504,[0]
757,10701,0.010701,[1]
758,10726,0.010726,[0]
759,10290,0.01029,[1]
760,9855,0.009855,[0]
761,9405,0.009405,[1]
762,9007,0.009007,[0]
763,8732,0.008732,[1]
764,8539,0.008539,[0]
765,8472,0.008472,[1]
766,8656,0.008656,[0]
767,8651,0.008651,[1]
768,8933,0.008933,[0]
769,8997,0.008997,[1]
770,9018,0.009018,[0]
771,8865,0.008865,[1]
772,9038,0.009038,[0]
773,9011,0.009011,[1]
774,8873,0.008873,[0]
775,8785,0.008785,[1]
776,8798,0.008798,[0]
777,8589,0.008589,[1]
778,8485,0.008485,[0]
779,8343,0.008343,[1]
780,8333,0.008333,[0]
781,8502,0.008502,[1]
782,8461,0.008461,[0]
783,8445,0.008445,[1]
784,8673,0.008673,[0]
785,8901,0.008901,[1]
786,8871,0.008871,[0]
787,9044,0.009044,[1]
788,9028,0.009028,[0]
789,8951,0.008951,[1]
790,8876,0.008876,[0]
791,8959,0.008959,[1]
792,9376,0.009376,[0]
793,9282,0.009282,[1]
794,9118,0.009118,[0]
795,9098,0.009098,[1]
796,8992,0.008992,[0]
797,9076,0.009076,[1]
798,9116,0.009116,[0]
799,9316,0.009316,[1]
800,9599,0.009599,[0]
801,9673,0.009673,[1]
802,9761,0.009761,[0]
803,9943,0.009943,[1]
804,9740,0.00974,[0]
805,9657,0.009657,[1]
806,9880,0.00988,[0]
807,9871,0.009871,[1]
808,9721,0.009721,[0]
809,9686,0.009686,[1]
810,10083,0.010083,[0]
811,10670,0.01067,[1]
812,10768,0.010768,[0]
813,10722,0.010722,[1]
814,10649,0.010649,[0]
815,10729,0.010729,[1]
816,10743,0.010743,[0]
817,10704,0.010704,[1]
818,10698,0.010698,[0]
819,10900,0.0109,[1]
820,10929,0.010929,[0]
821,11251,0.011251,[1]
822,11246,0.011246,[0]
823,11361,0.011361,[1]
824,11059,0.011059,[0]
825,11199,0.011199,[1]
826,11515,0.011515,[0]
827,11498,0.011498,[1]
828,11180,0.01118,[0]
829,10910,0.01091,[1]
830,10603,0.010603,[0]
831,10377,0.010377,[1]
832,10241,0.010241,[0]
833,10121,0.010121,[1]
834,10063,0.010063,[0]
835,10265,0.010265,[1]
836,10252,0.010252,[0]
837,10364,0.010364,[1]
838,10359,0.010359,[0]
839,10120,0.01012,[1]
840,9867,0.009867,[0]
841,9563,0.009563,[1]
842,9335,0.009335,[0]
843,9171,0.009171,[1]
844,8959,0.008959,[0]
845,8817,0.008817,[1]
846,8997,0.008997,[0]
847,8956,0.008956,[1]
848,8998,0.008998,[0]
849,8824,0.008824,[1]
850,8704,0.008704,[0]
851,8782,0.008782,[1]
852,8833,0.008833,[0]
853,8903,0.008903,[1]
854,8900,0.0089,[0]
855,8795,0.008795,[1]
856,8775,0.008775,[0]
857,8788,0.008788,[1]
858,8681,0.008681,[0]
859,8655,0.008655,[1]
860,8715,0.008715,[0]
861,8597,0.008597,[1]
862,8414,0.008414,[0]
863,8571,0.008571,[1]
864,8633,0.008633,[0]
