[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092406_Long_Merle_205PaddleSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
492,9016,0.009016,[0]
493,8927,0.008927,[1]
494,8862,0.008862,[0]
495,8747,0.008747,[1]
496,8592,0.008592,[0]
497,8515,0.008515,[1]
498,8448,0.008448,[0]
499,8372,0.008372,[1]
500,8354,0.008354,[0]
501,8340,0.00834,[1]
502,8335,0.008335,[0]
503,8290,0.00829,[1]
504,8345,0.008345,[0]
505,8304,0.008304,[1]
506,8289,0.008289,[0]
507,8255,0.008255,[1]
508,8409,0.008409,[0]
509,8611,0.008611,[1]
510,8478,0.008478,[0]
511,8303,0.008303,[1]
512,8594,0.008594,[0]
513,8449,0.008449,[1]
514,8202,0.008202,[0]
515,8193,0.008193,[1]
516,8470,0.00847,[0]
517,8503,0.008503,[1]
518,8293,0.008293,[0]
519,8509,0.008509,[1]
520,9029,0.009029,[0]
521,9350,0.00935,[1]
522,9534,0.009534,[0]
523,9472,0.009472,[1]
524,9276,0.009276,[0]
525,9142,0.009142,[1]
526,8902,0.008902,[0]
527,8688,0.008688,[1]
528,8665,0.008665,[0]
529,8672,0.008672,[1]
530,8904,0.008904,[0]
531,9453,0.009453,[1]
532,9658,0.009658,[0]
533,9902,0.009902,[1]
534,10073,0.010073,[0]
535,10001,0.010001,[1]
536,9837,0.009837,[0]
537,9904,0.009904,[1]
