[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085918_Davidson_Codie_pirhanaMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
276,8469,0.008469,[0]
277,8374,0.008374,[1]
278,8366,0.008366,[0]
279,8545,0.008545,[1]
280,8527,0.008527,[0]
281,8810,0.00881,[1]
282,8745,0.008745,[0]
283,8886,0.008886,[1]
284,8696,0.008696,[0]
285,8853,0.008853,[1]
286,8969,0.008969,[0]
287,9297,0.009297,[1]
288,9454,0.009454,[0]
289,9607,0.009607,[1]
290,9645,0.009645,[0]
291,9582,0.009582,[1]
292,9891,0.009891,[0]
293,10018,0.010018,[1]
294,10273,0.010273,[0]
295,9877,0.009877,[1]
296,10021,0.010021,[0]
297,10127,0.010127,[1]
298,10383,0.010383,[0]
299,10152,0.010152,[1]
300,10471,0.010471,[0]
301,10565,0.010565,[1]
302,10766,0.010766,[0]
303,10692,0.010692,[1]
304,10904,0.010904,[0]
305,11107,0.011107,[1]
306,10743,0.010743,[0]
307,10343,0.010343,[1]
308,10037,0.010037,[0]
309,9944,0.009944,[1]
310,10032,0.010032,[0]
311,9749,0.009749,[1]
312,10402,0.010402,[0]
313,11246,0.011246,[1]
314,10681,0.010681,[0]
315,9960,0.00996,[1]
