[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085334_Davidson_Codie_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
646,10525,0.010525,[0]
647,10417,0.010417,[1]
648,10807,0.010807,[0]
649,11430,0.01143,[1]
650,11560,0.01156,[0]
651,12249,0.012249,[1]
652,12260,0.01226,[0]
653,12143,0.012143,[1]
654,11588,0.011588,[0]
655,11607,0.011607,[1]
656,11263,0.011263,[0]
657,11033,0.011033,[1]
658,10801,0.010801,[0]
659,11509,0.011509,[1]
660,11347,0.011347,[0]
661,11631,0.011631,[1]
662,11018,0.011018,[0]
663,10727,0.010727,[1]
664,10393,0.010393,[0]
665,9922,0.009922,[1]
666,9801,0.009801,[0]
667,10017,0.010017,[1]
668,9884,0.009884,[0]
669,9367,0.009367,[1]
670,9235,0.009235,[0]
671,9359,0.009359,[1]
672,9173,0.009173,[0]
673,8831,0.008831,[1]
674,9090,0.00909,[0]
675,9133,0.009133,[1]
676,8958,0.008958,[0]
677,8966,0.008966,[1]
678,8945,0.008945,[0]
679,8789,0.008789,[1]
680,8479,0.008479,[0]
681,8602,0.008602,[1]
682,8517,0.008517,[0]
683,8586,0.008586,[1]
684,8515,0.008515,[0]
685,8692,0.008692,[1]
686,8654,0.008654,[0]
687,8733,0.008733,[1]
688,8492,0.008492,[0]
689,8640,0.00864,[1]
690,8502,0.008502,[0]
691,8264,0.008264,[1]
692,8844,0.008844,[0]
693,8827,0.008827,[1]
694,9188,0.009188,[0]
695,9011,0.009011,[1]
696,8844,0.008844,[0]
697,8925,0.008925,[1]
698,8793,0.008793,[0]
699,8665,0.008665,[1]
700,8753,0.008753,[0]
701,8727,0.008727,[1]
702,8804,0.008804,[0]
703,8874,0.008874,[1]
704,9328,0.009328,[0]
705,9219,0.009219,[1]
706,9639,0.009639,[0]
707,9859,0.009859,[1]
708,10316,0.010316,[0]
709,10215,0.010215,[1]
710,10553,0.010553,[0]
711,10538,0.010538,[1]
712,10399,0.010399,[0]
713,10291,0.010291,[1]
714,10242,0.010242,[0]
715,10416,0.010416,[1]
716,10748,0.010748,[0]
717,11058,0.011058,[1]
718,11671,0.011671,[0]
719,12007,0.012007,[1]
720,11822,0.011822,[0]
721,11529,0.011529,[1]
722,11331,0.011331,[0]
723,11513,0.011513,[1]
724,12541,0.012541,[0]
725,12487,0.012487,[1]
726,12571,0.012571,[0]
727,12153,0.012153,[1]
728,11651,0.011651,[0]
729,11546,0.011546,[1]
730,11512,0.011512,[0]
731,11424,0.011424,[1]
732,11491,0.011491,[0]
733,11868,0.011868,[1]
734,11479,0.011479,[0]
735,11138,0.011138,[1]
736,10781,0.010781,[0]
737,10373,0.010373,[1]
738,10280,0.01028,[0]
739,9897,0.009897,[1]
740,10008,0.010008,[0]
741,9870,0.00987,[1]
742,9525,0.009525,[0]
743,9324,0.009324,[1]
744,9279,0.009279,[0]
745,9160,0.00916,[1]
746,9433,0.009433,[0]
747,9260,0.00926,[1]
748,9258,0.009258,[0]
749,9263,0.009263,[1]
750,9241,0.009241,[0]
751,9008,0.009008,[1]
752,8849,0.008849,[0]
753,8789,0.008789,[1]
754,8584,0.008584,[0]
755,8453,0.008453,[1]
756,8480,0.00848,[0]
757,8690,0.00869,[1]
758,8578,0.008578,[0]
759,8828,0.008828,[1]
760,8769,0.008769,[0]
761,8659,0.008659,[1]
762,8557,0.008557,[0]
763,8680,0.00868,[1]
764,8860,0.00886,[0]
765,8765,0.008765,[1]
766,8649,0.008649,[0]
767,8777,0.008777,[1]
768,8575,0.008575,[0]
769,8591,0.008591,[1]
770,8522,0.008522,[0]
771,8790,0.00879,[1]
772,8908,0.008908,[0]
773,8825,0.008825,[1]
774,9468,0.009468,[0]
775,9719,0.009719,[1]
776,9533,0.009533,[0]
777,9475,0.009475,[1]
778,9472,0.009472,[0]
779,9217,0.009217,[1]
780,9291,0.009291,[0]
781,9209,0.009209,[1]
782,9369,0.009369,[0]
783,9886,0.009886,[1]
784,9906,0.009906,[0]
785,10146,0.010146,[1]
786,10513,0.010513,[0]
787,10837,0.010837,[1]
788,11050,0.01105,[0]
789,10977,0.010977,[1]
790,11018,0.011018,[0]
791,10809,0.010809,[1]
792,10382,0.010382,[0]
793,10603,0.010603,[1]
794,10897,0.010897,[0]
795,11202,0.011202,[1]
796,11481,0.011481,[0]
797,11441,0.011441,[1]
798,12085,0.012085,[0]
799,11839,0.011839,[1]
800,11502,0.011502,[0]
801,11700,0.0117,[1]
802,11738,0.011738,[0]
803,11484,0.011484,[1]
804,11388,0.011388,[0]
805,11359,0.011359,[1]
806,11450,0.01145,[0]
807,11076,0.011076,[1]
808,11801,0.011801,[0]
809,11821,0.011821,[1]
810,11269,0.011269,[0]
811,11262,0.011262,[1]
812,11663,0.011663,[0]
813,10971,0.010971,[1]
814,10433,0.010433,[0]
815,10529,0.010529,[1]
816,10556,0.010556,[0]
817,11142,0.011142,[1]
818,10867,0.010867,[0]
819,10248,0.010248,[1]
820,9873,0.009873,[0]
821,9512,0.009512,[1]
822,9173,0.009173,[0]
823,8974,0.008974,[1]
824,8939,0.008939,[0]
825,8595,0.008595,[1]
826,8538,0.008538,[0]
827,8620,0.00862,[1]
828,8752,0.008752,[0]
829,8870,0.00887,[1]
830,9208,0.009208,[0]
831,9580,0.00958,[1]
832,9272,0.009272,[0]
833,9049,0.009049,[1]
834,8820,0.00882,[0]
835,8601,0.008601,[1]
836,8485,0.008485,[0]
837,8845,0.008845,[1]
838,8737,0.008737,[0]
839,8462,0.008462,[1]
840,8817,0.008817,[0]
841,8746,0.008746,[1]
842,8871,0.008871,[0]
843,8914,0.008914,[1]
844,8868,0.008868,[0]
845,8747,0.008747,[1]
846,8697,0.008697,[0]
847,8646,0.008646,[1]
848,8751,0.008751,[0]
849,8826,0.008826,[1]
850,8968,0.008968,[0]
851,9038,0.009038,[1]
852,9370,0.00937,[0]
853,9163,0.009163,[1]
854,8944,0.008944,[0]
855,8615,0.008615,[1]
856,8752,0.008752,[0]
857,8793,0.008793,[1]
858,8744,0.008744,[0]
859,9366,0.009366,[1]
860,9475,0.009475,[0]
861,9662,0.009662,[1]
862,9889,0.009889,[0]
863,10386,0.010386,[1]
864,10439,0.010439,[0]
